City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp (F),Wind Speed (MPH)
3696183,Iquitos,75,PE,1607745690,88,-3.75,-73.25,75.2,21.92
5339663,Coronado,20,US,1607745766,71,32.69,-117.18,57.2,2.42
2034497,Guangming,0,CN,1607745767,65,45.33,122.78,13.89,6.64
5991888,Killam,49,CA,1607745607,100,52.78,-111.85,19.4,10.29
3445026,Vila Velha,90,BR,1607745628,94,-20.33,-40.29,75.2,2.24
4762894,Hampton,20,US,1607745767,67,37.03,-76.35,57.99,4.7
5880054,Barrow,75,US,1607745767,76,71.29,-156.79,-5.8,14.99
108410,Riyadh,0,SA,1607745760,66,24.69,46.72,48.2,2.93
1106643,Quatre Cocos,40,MU,1607745768,69,-20.21,57.76,80.01,11.41
2110227,Butaritari,73,KI,1607745687,78,3.07,172.79,81.21,14.56
2037078,Hailar,0,CN,1607745768,85,49.2,119.7,-6.39,3.33
3580477,West Bay,20,KY,1607745768,88,19.37,-81.42,78.01,10.29
5882953,Aklavik,0,CA,1607745768,68,68.22,-135.01,-16.6,5.82
658629,Haukipudas,90,FI,1607745769,85,65.18,25.35,24.8,9.17
3147822,Leirvik,65,NO,1607745769,66,59.78,5.5,41.0,1.99
2155415,New Norfolk,0,AU,1607745769,31,-42.78,147.06,78.01,3.0
2022572,Khatanga,78,RU,1607745770,83,71.97,102.5,-24.65,5.66
3448903,São João da Barra,99,BR,1607745770,92,-21.64,-41.05,74.8,5.01
1257479,Sānchi,90,IN,1607745770,100,23.48,77.73,62.6,11.41
2804867,Zella-Mehlis,100,DE,1607745770,88,50.65,10.65,36.0,5.99
1253237,Verāval,39,IN,1607745770,74,20.9,70.37,75.85,7.76
3839307,Rawson,87,AR,1607745654,35,-43.3,-65.1,65.75,29.55
2035836,Manzhouli,0,CN,1607745771,80,49.6,117.43,-4.22,7.67
882100,Rusape,68,ZW,1607745771,89,-18.53,32.13,63.57,4.74
1262062,Naliya,0,IN,1607745771,38,23.27,68.83,74.28,18.23
934482,Grand Baie,36,MU,1607745771,61,-20.02,57.58,80.01,5.99
3361934,Saldanha,0,ZA,1607745641,82,-33.01,17.94,57.2,3.36
1064234,Ikongo,99,MG,1607745772,86,-21.88,47.43,70.3,0.31
1856392,Muroto-misakicho,40,JP,1607745772,44,33.28,134.15,60.8,14.99
2092164,Lorengau,97,PG,1607745772,74,-2.02,147.27,85.15,8.12
1855540,Naze,75,JP,1607745772,64,28.37,129.48,71.6,8.05
4419500,Brookhaven,100,US,1607745772,84,31.58,-90.44,64.0,5.99
5110365,Broome,1,US,1607745772,70,42.25,-75.83,42.8,5.82
2112802,Hasaki,75,JP,1607745773,66,35.73,140.83,59.0,5.82
1265053,Lar,56,IN,1607745773,37,26.2,83.97,75.87,5.53
2399888,Lambaréné,100,GA,1607745773,93,-0.7,10.24,74.03,2.35
5746545,Portland,90,US,1607745637,86,45.52,-122.68,39.99,3.36
1806041,Jiaocheng,46,CN,1607745773,40,24.68,116.14,77.67,1.66
6167817,Torbay,75,CA,1607745596,91,47.67,-52.73,34.0,17.22
3464255,Encruzilhada do Sul,40,BR,1607745774,80,-30.54,-52.52,67.86,4.32
2127060,Arman',100,RU,1607745774,92,59.7,150.17,8.65,14.47
3946820,Barranca,100,PE,1607745677,92,-10.75,-77.77,65.41,7.05
4853078,Creston,90,US,1607745774,100,41.06,-94.36,33.8,21.92
1576303,Lao Cai,71,VN,1607745774,59,22.48,103.95,75.36,2.53
5546220,Saint George,1,US,1607745529,56,37.1,-113.58,44.6,1.83
3372472,Vila Franca do Campo,75,PT,1607745775,72,37.72,-25.43,62.6,16.11
1282256,Hithadhoo,25,MV,1607745775,75,-0.6,73.08,81.79,12.17
4132093,Springdale,20,US,1607745775,100,36.19,-94.13,42.8,8.05
1507638,Chunoyar,98,RU,1607745775,88,57.45,97.32,-6.3,3.22
1244926,Hambantota,75,LK,1607745588,88,6.12,81.12,78.8,5.82
74477,Ibb,1,YE,1607745734,74,13.97,44.18,56.44,1.25
2022773,Khandyga,79,RU,1607745776,80,62.67,135.6,-42.09,1.39
2122104,Petropavlovsk-Kamchatskiy,75,RU,1607745776,67,53.05,158.65,23.0,4.47
2177671,Armidale,100,AU,1607745776,80,-30.52,151.65,55.99,8.99
3557332,Guisa,5,CU,1607745776,94,20.25,-76.54,71.6,6.93
777019,Vardø,94,NO,1607745683,93,70.37,31.11,32.79,14.76
370737,Malakal,67,SS,1607745777,33,9.53,31.66,73.26,5.44
217562,Butembo,76,CD,1607745777,75,0.15,29.28,57.09,2.84
2138522,Poya,100,NC,1607745777,79,-21.35,165.15,75.79,6.96
521776,Nikol'sk,25,RU,1607745777,95,53.72,46.07,6.6,6.76
